1 2
11 269
21 884
31 2055
41 3204
51 5395
61 7502
71 10389
81 13034
91 17113
101 21478
111 25005
121 30266
131 34557
141 39400
151 46463
161 52230
171 58785
181 65076
191 71487
201 80592
211 90871
221 98808
231 107489
241 117358
251 127005
261 136524
271 146723
281 157548
291 171973
301 183002
311 194215
321 207810
331 219229
341 233600
351 245101
361 261044
371 279075
381 287956
391 304283
401 323662
411 337699
421 355136
431 370727
441 390948
451 406051
461 420068
471 449141
481 466150
491 479979
501 502108
511 523895
521 540974
531 561107
541 585006
551 610373
561 630102
571 651799
581 680210
591 697311
601 729054
611 744363
621 777308
631 791119
641 824244
651 849101
661 869558
671 910803
681 919602
691 951449
701 984860
711 1020445
721 1036674
731 1073081
741 1097166
751 1125337
761 1158712
771 1171645
781 1221530
791 1255511
801 1311220
811 1306121
821 1350324
831 1375061
841 1417066
851 1450087
861 1486978
871 1519625
881 1552560
891 1602805
901 1625888
911 1663457
921 1701130
931 1728367
941 1774830
951 1806865
961 1874870
971 1894475
981 1929666
991 1966193
