1 3 4 
2801 9546 12505 12356
2811 12810 12555 15630
2821 11991 15315 14821
2831 16773 15089 19613
2841 11106 13967 13956
2851 10500 14233 13360
2861 16995 15989 19865
2871 15978 7331 18858
2881 16743 7977 19633
2891 12069 15889 14969
2901 12213 15241 15123
2911 14805 16365 17725
2921 13689 12751 16619
2931 13077 8063 16017
2941 16680 12741 19630
2951 13740 16291 16700
2961 17580 10873 20550
2971 11037 16461 14017
2981 14352 12289 17342
2991 9750 14087 12750
3001 14415 13615 17425
3011 17646 16555 20666
3021 13788 16199 16818
3031 14916 16727 17956
3041 17220 17009 20270
3051 10179 14989 13239
3061 11814 14325 14884
3071 12006 16879 15086
3081 11451 7273 14541
3091 17244 13011 20344
3101 14331 15795 17441
3111 14382 17459 17502
3121 11541 8897 14671
3131 10713 17181 13853
3141 9903 17051 13053
3151 17799 17257 20959
3161 14880 14653 18050
3171 17829 15571 21009
3181 16635 15887 19825
3191 14904 12797 18104
3201 10569 16967 13779
3211 9870 7375 13090
3221 17502 15037 20732
3231 11139 11395 14379
3241 18375 17991 21625
3251 10188 14539 13448
3261 13815 10749 17085
3271 14409 16105 17689
3281 13167 13269 16457
3291 13233 18255 16533
3301 16986 16925 20296
3311 16371 11499 19691
3321 13281 11503 16611
3331 13365 11877 16705
3341 10197 17353 13547
3351 11688 16417 15048
3361 17520 17901 20890
3371 20127 17423 23507
3381 17478 15653 20868
3391 11142 14065 14542
3401 10428 16945 13838
3411 17883 19013 21303
3421 12126 14251 15556
3431 15198 18209 18638
3441 19398 17921 22848
3451 14898 16743 18358
3461 12393 12371 15863
3471 15081 15807 18561
3481 11742 16703 15232
3491 11820 19333 15320
3501 18933 19491 22443
3511 18837 13291 22357
3521 13536 19363 17066
3531 10875 18433 14415
3541 11991 19457 15541
3551 11988 16659 15548
3561 11964 18833 15534
3571 16518 17029 20098
3581 13773 15497 17363
3591 19659 8355 23259
3601 18507 19591 22117
3611 11787 10483 15407
3621 19623 20065 23253
3631 12897 19377 16537
3641 14772 17703 18422
3651 19650 15373 23310
3661 13677 19465 17347
3671 11598 20587 15278
3681 13947 18489 17637
3691 16905 19517 20605
3701 17916 19659 21626
3711 14169 19177 17889
3721 20397 20667 24127
3731 15525 15393 19265
3741 20607 21107 24357
3751 17889 18063 21649
3761 13467 18493 17237
3771 14973 16997 18753
3781 12465 16003 16255
3791 17973 21125 21773
3801 19878 20741 23688
3811 22500 18681 26320
3821 15480 21121 19310
3831 17004 19985 20844
3841 18606 21045 22456
3851 15228 20727 19088
3861 13323 19063 17193
3871 17148 20531 21028
3881 16866 19987 20756
3891 12390 21755 16290
3901 13593 20125 17503
3911 13566 16713 17486
3921 13254 16683 17184
3931 13173 21323 17113
3941 21411 20865 25361
3951 15252 17129 19212
3961 19368 19545 23338
3971 23397 10523 27377
3981 19710 20143 23700
3991 16878 21971 20878
4001 21828 17457 25838
4011 14589 20379 18609
4021 19665 17305 23695
4031 19620 21743 23660
4041 23100 19079 27150
4051 13710 13915 17770
4061 20175 22777 24245
4071 22332 22587 26412
4081 18132 21695 22222
4091 18210 22489 22310
4101 13605 20099 17715
4111 22494 11829 26614
4121 13695 21141 17825
4131 18801 22957 22941
4141 24579 22073 28729
4151 20652 22163 24812
4161 14859 15047 19029
4171 15528 17261 19708
4181 14724 9029 18914
4191 21363 19061 25563
4201 13287 22993 17497
4211 17976 18627 22196
4221 23241 17181 27471
4231 17670 13745 21910
4241 19410 17967 23660
4251 15309 11851 19569
4261 23289 19625 27559
4271 18315 23889 22595
4281 15729 18869 20019
4291 15645 11403 19945
4301 23403 23199 27713
4311 15516 18199 19836
4321 13401 17669 17731
4331 16611 19687 20951
4341 24171 21749 28521
4351 17808 24355 22168
4361 20799 21857 25169
4371 20742 10365 25122
4381 26208 22279 30598
4391 18597 24607 22997
4401 23625 14315 28035
4411 26043 20347 30463
4421 18975 24779 23405
4431 16701 19615 21141
4441 21000 18761 25450
4451 21945 22381 26405
4461 19446 22853 23916
4471 15423 11445 19903
4481 25449 23671 29939
4491 19191 20305 23691
4501 16701 24689 21211
4511 18177 11515 22697
4521 20457 18919 24987
4531 16527 16891 21067
4541 17331 21031 21881
4551 21522 25185 26082
4561 15543 23313 20113
4571 13917 25049 18497
4581 15234 20263 19824
4591 26862 25545 31462
4601 27471 24447 32081
4611 14664 24921 19284
4621 22587 24541 27217
4631 17502 24883 22142
4641 24360 19301 29010
4651 15675 20627 20335
4661 20646 24883 25316
4671 16092 15051 20772
4681 24006 9885 28696
4691 15843 20969 20543
4701 24129 24653 28839
4711 18108 22001 22828
4721 15555 24813 20285
4731 16014 26185 20754
4741 23931 14477 28681
4751 14262 23339 19022
4761 18063 26895 22833
4771 14769 21811 19549
4781 21654 21287 26444
4791 17520 16829 22320
4801 16818 23837 21628
4811 20415 26877 25235
4821 25584 21877 30414
4831 17466 22415 22306
4841 19671 26329 24521
4851 22605 26815 27465
4861 24813 25813 29683
4871 24585 22575 29465
4881 17190 24183 22080
4891 23391 21945 28291
4901 28521 24963 33431
4911 17727 23371 22647
4921 22743 11195 27673
4931 15336 26687 20276
4941 23517 26311 28467
4951 23052 22589 28012
4961 19182 15365 24152
4971 19497 27617 24477
4981 25293 24089 30283
4991 27765 24619 32765
5001 27975 16959 32985
5011 25131 24987 30151
5021 16353 23795 21383
5031 19101 28227 24141
5041 16539 19733 21589
5051 15237 23299 20297
5061 23757 27315 28827
5071 20745 27671 25825
5081 24663 27769 29753
5091 22155 26435 27255
5101 23145 28261 28255
5111 16578 28727 21698
5121 16806 26251 21936
5131 29553 25863 34693
5141 30189 12987 35339
5151 21111 28207 26271
5161 26928 21373 32098
5171 26184 25793 31364
5181 23436 26687 28626
5191 28287 27191 33487
5201 26637 28077 31847
5211 19392 26497 24612
5221 25914 29083 31144
5231 21702 29259 26942
5241 24108 25321 29358
5251 24042 21855 29302
5261 23565 28429 28835
5271 19488 27583 24768
5281 21741 14159 27031
5291 19575 25305 24875
5301 29883 28891 35193
5311 17937 25369 23257
5321 21339 13941 26669
5331 26118 26245 31458
5341 24780 26269 30130
5351 30210 27375 35570
5361 28638 29639 34008
5371 17169 29891 22549
5381 19131 22805 24521
5391 16365 25795 21765
5401 25257 26709 30667
5411 30549 28159 35969
5421 23334 25955 28764
5431 29472 22675 34912
5441 32529 22467 37979
5451 17865 29373 23325
5461 19812 30029 25282
5471 18528 24865 24008
5481 18687 24987 24177
5491 27966 26361 33466
5501 31041 29039 36551
5511 31842 20349 37362
5521 22611 29691 28141
5531 32760 27241 38300
5541 28350 31191 33900
5551 21984 28133 27544
5561 23013 29211 28583
5571 33357 20831 38937
5581 21345 25697 26935
5591 18954 25317 24554
5601 30057 20581 35667
5611 17463 13373 23083
5621 29256 20901 34886
5631 21195 27327 26835
5641 25710 28287 31360
5651 17823 31465 23483
5661 21219 31151 26889
5671 28728 29603 34408
5681 27066 31723 32756
5691 32481 31721 38181
5701 28290 30711 34000
5711 31143 25317 36863
5721 19818 22541 25548
5731 32988 20247 38728
5741 19293 28111 25043
5751 32085 31731 37845
5761 19494 28627 25264
5771 29013 29587 34793
5781 19770 31059 25572
5791 30240 13465 36040
5801 20448 32591 26258
5811 24405 13313 30225
5821 33840 25503 39670
5831 23712 24713 29552
5841 23352 30133 29202
5851 29802 26219 35662
5861 34710 12995 40580
5871 35031 20359 40911
5881 18051 15159 23941
5891 27387 32399 33287
5901 29637 21109 35547
5911 29082 23497 35002
5921 24963 20767 30893
5931 30426 28527 36366
5941 25773 31469 31723
5951 23943 32371 29903
5961 35313 26867 41283
5971 19089 30971 25069
5981 24954 32065 30944
5991 21693 31909 27693
6001 33744 28415 39754
6011 28071 28715 34091
6021 30441 31559 36471
6031 24054 33607 30094
6041 32742 26053 38792
6051 35325 31765 41385
6061 23238 26803 29308
6071 23277 18725 29357
6081 25563 33379 31653
6091 25821 34089 31921
6101 34995 33713 41105
6111 27063 26057 33183
6121 32382 29117 38512
6131 31299 34353 37439
6141 26715 34015 32865
6151 35346 23005 41506
6161 29076 29913 35246
6171 29544 34331 35724
6181 25632 32101 31822
6191 18873 13003 25073
6201 28779 18221 34989
6211 24840 33793 31060
6221 27276 32159 33506
6231 28692 26349 34932
6241 25032 34863 31282
6251 31311 29131 37571
6261 37284 27305 43554
6271 29415 30035 35695
6281 19080 22233 25370
6291 28791 20677 35091
6301 29850 32249 36160
6311 24795 31231 31115
6321 22068 30317 28398
6331 25593 31803 31933
6341 19365 23957 25715
6351 21132 23343 27492
6361 20958 35875 27328
6371 22416 30517 28796
6381 19449 32851 25839
